scenario,scenario_group,protocol,round,cluster_heads,alive_nodes,dead_nodes,avg_residual_energy,generated_packets,delivered_packets,pdr_round,avg_delay_round,throughput_bits_round,avg_aoi,hazardous_generated,hazardous_delivered,hazardous_success_round
normal,evaluation,standard_leach,1,4,36,0,0.08929749223452517,36,36,1.0,1.8888888888888888,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,2,4,36,0,0.0885831078397708,36,36,1.0,1.8888888888888888,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,3,3,36,0,0.08788641998419136,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,4,7,36,0,0.0872177519352823,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,5,3,36,0,0.08651376680258982,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,6,2,36,0,0.08581396987615023,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,7,6,36,0,0.08511669382554293,36,36,1.0,1.8333333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,8,6,36,0,0.08441649241376152,36,36,1.0,1.8333333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,9,1,36,0,0.08379536458792769,36,36,1.0,1.7222222222222223,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,10,3,36,0,0.08306960006391416,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,11,2,36,0,0.08238734509242487,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,12,2,36,0,0.08167194587982886,36,36,1.0,1.9444444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,13,4,36,0,0.08095422080937162,36,36,1.0,1.8888888888888888,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,14,1,36,0,0.08037759084836243,36,36,1.0,1.5833333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,15,10,36,0,0.07971910297113352,36,36,1.0,1.7222222222222223,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,16,11,36,0,0.07906389556543232,36,36,1.0,1.6944444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,17,1,36,0,0.0784441917494756,36,36,1.0,1.6666666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,18,1,36,0,0.07798316322993032,36,36,1.0,1.3055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,19,1,36,0,0.07739533418674034,36,36,1.0,1.5833333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,20,1,36,0,0.07671422701719803,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,21,3,36,0,0.07601743355553413,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,22,1,36,0,0.07532160539577863,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,23,7,36,0,0.07465396937357023,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,24,14,36,0,0.07401946990333981,36,36,1.0,1.6111111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,25,1,36,0,0.07334947638448389,36,36,1.0,1.8333333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,26,3,36,0,0.07265041536622484,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,27,1,36,0,0.07214071446406961,36,36,1.0,1.4166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,28,1,36,0,0.07157626252407587,36,36,1.0,1.5833333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,29,5,36,0,0.070889882198739,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,30,1,36,0,0.07019405403898352,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,31,3,36,0,0.06949242684023049,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,32,14,36,0,0.06885753390516801,36,36,1.0,1.6111111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,33,1,36,0,0.06827975881219679,36,36,1.0,1.5555555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,34,2,36,0,0.06756413141460352,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,35,2,36,0,0.0668200881863456,36,36,1.0,1.9444444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,36,1,36,0,0.06631038728419038,36,36,1.0,1.4166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,37,1,36,0,0.06576949319976438,36,36,1.0,1.5,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,38,1,36,0,0.06507366504000889,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,39,6,36,0,0.06437927861813829,36,36,1.0,1.8333333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,40,15,36,0,0.0637587619215373,36,36,1.0,1.5833333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,41,1,36,0,0.06308133264135057,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,42,1,36,0,0.06254157126034265,36,36,1.0,1.4722222222222223,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,43,1,36,0,0.06189516066386019,36,36,1.0,1.7222222222222223,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,44,1,36,0,0.06127403283802636,36,36,1.0,1.7222222222222223,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,45,3,36,0,0.060618254007585595,36,36,1.0,1.6944444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,46,6,36,0,0.0599317823408742,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,47,5,36,0,0.05924617158250437,36,36,1.0,1.8333333333333333,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,48,9,36,0,0.058589479246526986,36,36,1.0,1.75,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,49,1,36,0,0.05799217251540126,36,36,1.0,1.6388888888888888,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,50,2,36,0,0.05731778583325374,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,51,1,36,0,0.05664035655306703,36,36,1.0,1.8055555555555556,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,52,2,36,0,0.05599800474609343,36,36,1.0,1.75,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,53,3,36,0,0.05528030633232004,36,36,1.0,1.8888888888888888,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,54,2,36,0,0.05458043187510036,36,36,1.0,1.9166666666666667,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,55,9,36,0,0.05390785628372148,36,36,1.0,1.75,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,56,11,36,0,0.05325608424144533,36,36,1.0,1.6944444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,57,1,36,0,0.05264407890334381,36,36,1.0,1.6944444444444444,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,58,1,36,0,0.051978390245568336,36,36,1.0,1.8611111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,59,1,36,0,0.051405197657282437,36,36,1.0,1.6111111111111112,144000,0.0,0,0,1.0
normal,evaluation,standard_leach,60,1,36,0,0.05075415328496144,36,36,1.0,1.75,144000,0.0,0,0,1.0
