scenario,scenario_group,protocol,node_count,area_size,initial_energy,rounds_completed,fnd,hnd,lnd,average_residual_energy,packet_delivery_ratio,end_to_end_delay,throughput_bits_per_round,average_aoi,hazardous_event_delivery_success_rate,total_generated_packets,total_delivered_packets
normal,evaluation,standard_leach,36,100.0,0.09,250,85,148,250,0.025865469933450277,0.9745413702733059,1.6605839416058394,83296.0,23.386,1.0,5342,5206
normal,evaluation,energy_aware_leach,36,100.0,0.09,260,65,123,260,0.025866162883642626,0.9726858877086495,1.6944227769110765,78892.30769230769,31.380769230769236,1.0,5272,5128
normal,evaluation,predictive_pollution_aware_leach,36,100.0,0.09,260,260,260,260,0.06365839172363377,1.0,1.00167862047917,100815.38461538461,0.6430555555555556,1.0,6553,6553
rising_warning,evaluation,standard_leach,36,100.0,0.09,231,88,140,231,0.02821381700019549,0.9704275758146543,1.6743012422360248,89212.12121212122,18.131433381433382,0.9354026845637584,5309,5152
rising_warning,evaluation,energy_aware_leach,36,100.0,0.09,260,66,131,260,0.026427109027852166,0.9638238050609185,1.6931155192532088,79107.69230769231,30.900534188034186,0.9468488990129081,5335,5142
rising_warning,evaluation,predictive_pollution_aware_leach,36,100.0,0.09,260,237,260,260,0.05300277171789806,0.9998927498927499,1.0085809288855518,143430.76923076922,0.034508547008547004,1.0,9324,9323
hazardous_spike,evaluation,standard_leach,36,100.0,0.09,252,98,149,252,0.02617117845363394,0.9733553840499817,1.6380970360581462,84079.36507936507,22.706679894179892,0.9138959931798807,5442,5297
hazardous_spike,evaluation,energy_aware_leach,36,100.0,0.09,260,65,142,260,0.02623260706379836,0.9703468854904886,1.6703824716509705,80046.15384615384,30.051709401709402,0.9631956912028725,5362,5203
hazardous_spike,evaluation,predictive_pollution_aware_leach,36,100.0,0.09,260,260,260,260,0.05923375931376284,1.0,1.0051719679337987,118984.61538461539,0.3689102564102565,1.0,7734,7734
hotspot_heavy,evaluation,standard_leach,36,100.0,0.09,219,63,146,219,0.029445008449862073,0.9675644916540213,1.6835914526563418,93168.9497716895,14.111745306950787,0.9722921914357683,5272,5101
hotspot_heavy,evaluation,energy_aware_leach,36,100.0,0.09,260,59,130,260,0.027355108077520996,0.9587266333518416,1.675096525096525,79692.30769230769,31.30961538461538,0.9617224880382775,5403,5180
hotspot_heavy,evaluation,predictive_pollution_aware_leach,36,100.0,0.09,260,253,260,260,0.05373436907768032,0.9998922181504635,1.0012935216125902,142723.07692307694,0.018055555555555557,1.0,9278,9277
sensitivity_nodes_24,sensitivity,standard_leach,24,100.0,0.09,246,124,144,246,0.026870433468195856,0.979092159559835,1.6577690362461366,57869.918699186994,20.54183604336043,1.0,3635,3559
sensitivity_nodes_24,sensitivity,energy_aware_leach,24,100.0,0.09,260,65,124,260,0.027205439698754292,0.9636560889612151,1.6684491978609626,54661.53846153846,29.532371794871796,1.0,3687,3553
sensitivity_nodes_24,sensitivity,predictive_pollution_aware_leach,24,100.0,0.09,260,260,260,260,0.06462633918268856,1.0,1.0,68753.84615384616,0.610897435897436,1.0,4469,4469
sensitivity_nodes_48,sensitivity,standard_leach,48,100.0,0.09,184,83,146,184,0.03394391483757055,0.9657252132980289,1.70982482863671,142717.39130434784,6.781702898550725,1.0,6798,6565
sensitivity_nodes_48,sensitivity,energy_aware_leach,48,100.0,0.09,258,65,117,258,0.02604535100774308,0.9657302544491837,1.745659457812976,101798.4496124031,33.473837209302324,1.0,6799,6566
sensitivity_nodes_48,sensitivity,predictive_pollution_aware_leach,48,100.0,0.09,260,260,260,260,0.06340273543451797,1.0,1.0066429418742586,129692.30769230769,0.700801282051282,1.0,8430,8430
sensitivity_area_140,sensitivity,standard_leach,36,140.0,0.09,217,71,122,217,0.02600427395413313,0.9713467048710601,1.6684819605173586,81235.02304147465,21.587557603686637,0.9667235494880546,4537,4407
sensitivity_area_140,sensitivity,energy_aware_leach,36,140.0,0.09,203,57,116,203,0.028762034758477165,0.9626168224299065,1.7117429496070273,85241.37931034483,19.60591133004926,0.9647058823529412,4494,4326
sensitivity_area_140,sensitivity,predictive_pollution_aware_leach,36,140.0,0.09,260,152,260,260,0.04541820180953882,0.9981534910559723,1.004856052722858,133061.53846153847,2.2980769230769234,0.9995539696699376,8665,8649
sensitivity_energy_12,sensitivity,standard_leach,36,100.0,0.12,260,141,196,260,0.04468133901980683,0.9838101884159107,1.6264718399773017,108446.15384615384,9.204273504273505,0.962683604605002,7165,7049
sensitivity_energy_12,sensitivity,energy_aware_leach,36,100.0,0.12,260,97,183,260,0.04557725661545406,0.9729089563286455,1.6845709068776629,101107.69230769231,16.02190170940171,0.9615888258402444,6755,6572
sensitivity_energy_12,sensitivity,predictive_pollution_aware_leach,36,100.0,0.12,260,260,260,260,0.08021062885995141,1.0,1.0354048561343459,143830.76923076922,0.0017094017094017094,1.0,9349,9349
